Sample,ct_target,ct_hk,group,dCT,ddCT,2^(-ddCT)
Condition 1 Replicate 1,27.03824996948245,7.87023138999939,Condition 1,19.16801857948306,-3.580837965011579,11.965742069929542
Condition 1 Replicate 2,26.53569412231445,7.7124137878418,Condition 1,18.82328033447265,-3.9255762100219904,15.195541797734586
Condition 1 Replicate 3,26.53218650817875,7.772783756256105,Condition 1,18.759402751922643,-3.9894537925719966,15.883465274561026
Condition 2 Replicate 1,22.05859088897705,7.87672781944275,Condition 2,14.181863069534302,-8.566993474960338,379.24687302669423
Condition 2 Replicate 2,22.4516203689575,7.8510262966156,Condition 2,14.600594072341899,-8.14826247215274,283.7078918551567
Condition 2 Replicate 3,22.566519737243652,7.897606134414675,Condition 2,14.668913602828978,-8.079942941665662,270.5859165468259
Condition 3 Replicate 1,20.988826751709,7.933672666549681,Condition 3,13.055154085159318,-9.693702459335322,828.1236913156756
Condition 3 Replicate 2,20.8167371749878,8.458870887756346,Condition 3,12.357866287231454,-10.390990257263185,1342.7641946374392
Condition 3 Replicate 3,21.942478179931648,8.486006498336796,Condition 3,13.456471681594852,-9.292384862899787,627.0274806102185
Control Replicate 1,30.4162378311157,7.62668538093567,Control,22.789552450180032,0.04069590568539283,0.9721858857851208
Control Replicate 2,30.1427450180054,7.46240520477295,Control,22.68033981323245,-0.06851673126218927,1.0486379997916362
Control Replicate 3,30.3002624511719,7.523585081100466,Control,22.776677370071432,0.027820825576792885,0.9809008186618977
